,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
17,nbc6,speakin’,"
thi",repmikecoffman,district,"
80602",war,heartbreak,live,hell,equal,citi,thursday,need,racist,stevekingia,stefanijanvi,prayer,famili,twice,state,gang,focu,toronto,viole…,dloesch,"poem
mani",weasel…,weaselpress,degener,redher,father,no…,amount,blitz,vote,polic,wound,anoth,human,solut,nra,,answer,result,stop,awesom,"

tw",victim,sweetlikecocoaa
18,abroad,countryl,ridiculous…,morgangodferi,crims0nl1z,teen,mine,tear,awesom,fight,brampton,polic,parkland,help,peac,end,toronto,walshfreedom,💔💔💔💔💔,healer,wake,violent,hidoriros,violenc…,board,countri,organ,may…,answer,idc,mass,crime,reduc,far,ineffect,famili,keep,victim,williamleg,nightmar,epidem,hahahahaha,,young,senat,nra,"tragic

nraisaterroristorgan",bring,gun,👌👏👏👏👏👏👏
19,snma,henc,pre,domest,cnn,a…,cultur,instigator75,push,exactli,senseless,common,polic,curiou,betoorourk,momsdemand,aurora,bless,rebeccadamonnyc,jakedthedog,drtzar,shannonrwatt,news,satir,weird,flare,“stop,theonion,solut,import,stop,shoot,mentalhealth,end,dummi,trend❗️cut,famili,sad,davidhogg111,endors,trauma,onion,nra,control,folk,gun,ye,toomani,evolut,nora
20,public,eu…,stevep,pickledpuffin,58000,2016,speak,ypww,briaasmithh,keepgo,us,actor,cnn,cgccontrol,toronto,,proven,alyssamilano,s…,pressur,dumptrump,hollywood,ye,declar,lost,indic,heartbreak,polic,dloesch,nelbamg,chicago,nra,ban,address,crisi,republican,america,voteforyourl,voteblue2018,flipva02blu,children,hermsenor2,donat,everytown,novemb,omg,gun,control,beauti,join
21,priority1,doesnt,isnt,platform,ope,nratreason,nraisaterroristorg,gunreformnow,nobodi,pain,upcom,count,survivor,tell,murica,3d,kill,infinit,support,hook,sandi,address,that,vox,ezraklein,degre,nra,tragedi,"
commonsensegunlawsnow",nraisaterroristorgan,cheecheebeck,lunchnotfreeman,famili,safeti,enoughisenough,gwengraham,love,stop,impli,,rememb,shoot,👇🏻,alyssa,😠😡😡😡👇🏼,periodt,fact,dloesch,gun,sad
22,centuri,wow,feed,nora,nonramoney,chang,toronto,dear,heartbreak,parkland,massshoot,solut,gunsens,bettercontrol,epidem,waff48,everytown,perpetr,win,address,disgrac,of…,school,defin,swear,violenc,senatemajldr,davidhogg111,reduc,lost,map,shake,briaasmithh,novemb,consid,stuff,word,marcorubio,goe,resign,young,💔🤙🏽,shoot,nra,amberforiowa,gun,unreal,god,senrobportman,
23,children,student,scare,result,repulseican,this🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊,control,"
white",math,ezra,wo,heartbreak,young,endur,harlemj11,dadonfigueroa,publichealth,drawn,fuckin,strong,caus,rest,gotta,momsdemand,toronto,famili,"⛅　　

🏦😲😭😯🏟️
🏨😞☹️🤔🏦
🏭😦😟😫🏛️
🏨😥😪😳🏢
🏗️😧　😲🏟️
🏨😨😱😞🏗️🏦🏢🏦⛲🏗️
🏢🤤🙄😩🚗　🚑🚐🚚🚚
🏛️😯😨😕　🚚🚕🚗🚑🚑
🏛️🤐😡😭🏬🏦🏬🏛️🏛️🏨
🏢😣😢😣🏟️
end",healthcar,tragedi,pictur,th…,reppoliquin,congressman,latamdc,parkland,npr,togeth,florida,polic,wow,pleasecomeback,momsdemandact,darthviden,ridicul,horribl,stop,exactli,enough,nra,gun
24,re…,address,ali,prevent,proud,t…,steve,ar,usa,treason,kill,cont,traumat,bullet,control,gop,effect,bei…,health,regul,dick,2nd,komonew,end,suppos,cc,ban,anymor,wut,hah,send,killswayz,suck,sandroandrin,gotta,famili,result,stop,obstruct,support,sooo,american,omg,gun,stopkavanaugh,neveragain,benelliusa,honorthemwithact,horribl,nra
25,poor,citi,yet,npr,circl,steven,district,repmikecoffman,sencorygardn,pocket,univers,support,solv,nra,u…,horrifi,march,sarahformayorto,billyray105,i…,commit,ban,student,care,inspir,hell,togeth,democraci,spite,confirm,platform,list,dealer,identifi,anoth,issu,isnt,absolut,"mirror

scari",effect,sad,noth,relev,georgecapen,ralli,violenc,yea,funni,gun,guncontrolnow
26,cousin,sc…,goof,dirt,where’,boot,violenc,cannot,hypocrit,hope,chicago,peac,guess,silenc,y’all,member,obscen,carancianthoni,statist,democrat,better,guard,day…,tragic,recogn,solut,tomorrow,davidhogg111,gun,mitchsav,law,famili,vote,repmikecoffman,greenwood,flesh,dc,compet,student,nra,"okay

itsthegun",,exactli,bringdownthenra,dloesch,hahahahahaha,lolololol,forget,end,stop
27,democrat,offic,crime,omgwhen,a35362,depre…,milwauke,have…,honor,"
votedemocrat","david

gunreformnow",atta,rock,wetdream,libtard,leftist,countri,nomin,crimin,young,someth,student,notic,davidhogg111,freedomschool,♥️,commun,amen,happen,four,preach,,neveragain,nrarussia,nra,victim,help,control,win❤️🤣👏,gun,david,senseless,sir,he,😂😂😂😂,👇🏽👏🏼👏🏼👏🏼❤️,😢🙏🏼,togeth,yeah,it’
28,school,cover,adventur,sad,does…,juri,2a,protect,havent,ope,mensa,vic,citynew,sens,famili,prevent,organ,littl,news,vi…,problem,american,student,elimin,ban,activist,madam,common,fatherless,death,you💖,"
✌💖👊",doesn’t,lock,david,heartbreak,media,shapiro,ben,crimin,inde,,hear,democrat,nra,amarch4ourl,thumb,violent,♥️♥️♥️,jeffekahn
29,pass,treat,stick,they’ll,wound,enough,s…,david,semit,thomasmckenzi,young,father,millenni,theyoungpeoplewillsaveu,😊😊😊😊😊,gunreformnow,increas,fair,anti,joke,tragic,reason,lmao,epidem,davidhogg111,xoxo,heartbreak,commit,,america,famili,cnni,special,"ltltlt
shit",mad,kill,hurt,lyin,cnn,sens,horribl,congratul,stop,news,forgotten,gun,wonder,absolut,point,end
30,week,father,older,gunn,violenc,dloesch,dmoney,😥shit,dv,control,a…,re…,surviv,debat,times…,bwahahaha,"
crime",xx…,choos,societi,piec,prevent,nra,enough,proud,stand,american,gunreformnow,payattent,marchforourl,crime,say,jasoncrowco6,master,danger,colorado,stalinist,boot,camp,listen,polic,owner,thought,commit,end,epidem,stop,youth,gun,media
31,reduc,council,wrong,later,racism,opinion,screw,tragedi,arm,insan,horrifi,ap,avoid,hollowsf,protest,"
no",sure,problem,usa,prayer,thought,america,debramess,violenc,byproduct,werent,year,style,shoot,,run,easier,spell,equalityforal,gunreformnow,give,kcbsradio,carriehodousek,victim,jacobsoboroff,davidhogg111,famili,word,gun,nra,staystrong,yesabsolut,😡😡😡😡😡😡,🔥🔥✊✊👏,speakerryan
32,legitim,workmanship,million,women,truth,davidhogg111,immun,hard,guy,ralli,fact,someon,council,approv,44million,reduc,parkland,odd,nra,brampton,isnt,proud,inevitably…,niec,stg,violenc,awokened™,what,flood,far,illeg,pathet,shoot,irrespons,ameryka,jebana,unjustifi,nonsens,gun,happen,afraid,,support,problem,epidem,presid,thank,chicago,end,goal
33,"

also",hollowsf,strict,youve…,commun,school,death,grandmoth,tragedi,lisalisaprov,scottfrazier19,sfbayareagirl,polic,town,"

i",jumpsultz,breast,cancer,random,father,springfield,senseless,sandi,hook,sit,dloesch,children,v…,anoth,altdoj,rauner,advoc,guncontrol,news,victim,merci,tw,shoot,tragic,event,pray,cover,ayub,ali,gotta,gun,peac,stop,betofortexa,👏🏻👏🏻👏🏻👏🏻👏🏻
34,increas,revers,citi,obsess,wrong,rucku,polit,report,kylekashuv,drastic,musingtig,black,major,stop,start,hbu,brutal,dinner,pick,reason,respons,beyond,an…,second,offer,american,divers,⬇️⬇️,newsroom,toronto,theyr,law,theonion,decay,moral,huge,violenc,fcukc,whatth,tw,music,problem,mad,put,thug,"
chicago",hahahaha,ridicul,gun,🔥🔥🔥🔥🔥🔥🔥
35,mandela,nelson,😀😀😀😀,locat,law,control,7965,research,data,independ,innoc,kill,cookspher,fauxnew,real…,decid,600th,homicid,second,2003,wow,girl,unbeliev,p…,"
slap",irrespons,sayshummingbird,toronto,shoot,pinpoint,technolog,shotspott,reason,gifford,gabbi,chicago,gun,highest,incid,allow,especi,anoth,late,suck,wtf,😥😥😥😢😢😢😢😢😢,sppdmn,hear,victim,kid
36,drug,terrorist,cartel,cousin,ahahahhahahah,famou,hurray,eteknix,elec…,trampa,horrifi,peac,kashmiri,from…,tote,nabeeelakhtar,glorifi,tomilahren,worri,youth,accident,4yearold,2yearold,gunviol,post,you’r,read,thehil,gun,kill,countri,def,teamcernovich,idiot,maga,basic,control,peterwehn,antinra,pedophil,famili,publichealth,citi,friday,wound,wise,lost,due,,solecollector
37,gu…,c…,lose,becuas,requir,increas,cor…,nsn26262,pointless,flaw,solv,stormwarnwx,gavin,gop,veteran,gavinnewsom,lost,fact,to…,chiktandoori,tragedi,prove,repvaldem,job,news,cousin,brother,import,vi…,inform,excit,media,glorif,constant,appar,who…,"😢
nra
gop
housegop

hi",sorrow,"hands
nrakillskids…",blood,control,wound,friday,less,shoot,mass,gun,report,tracker,kill
38,toyouthcabinet,youthtoronto,torontoty,amadeuszto,control,drive…,winger,promot,to…,australian,sapolicenew,polic,ausgovgunfact,i…,social,fuel,hatr,media,independ,archiv,violenc,knife…,ottoenglish,pickledpuffin,mccabethebul,odd,clear…,america,intersect,destabil,russian,penni,neck,pellet,willingl…,jame,come,next,jamescharl,charl,condol,fortnight,fact,roadtochang,marchforourl,nonramoney,gun,wors,strong,nbs☹️💔
39,curb,larger,addit,flow,tlp,asset,barrel,v…,lost,skewer,john,politician,oliv,done,‘rid’,womensaid,solacewomensaid,"

lie…",annolivariu,can…,regul,davidhogg111,nra,nearli,dailymailuk,accord,taken,fakenew,commit,wo,wewuzmetokur,fast,fade,victim,thank,photograph,captur,irrelev,anyon,🙏🏽😔,babygirl,rip,control,sweden,countri,anoth,children,truth,petersweden7,neverforget
40,so…,american,lyric,depend,brains…,differenceit,question,elit,defenseless,britain,stop,law,polic,doin,ain’t,sum,it💯💯,owner,read…,scapegoat,realdonadtrump,orangutan,theyr,hi…,deliv,accord,respond,davidhogg111,rape,grenad,declin,sweden,crimin,protest,citizen,thehil,would,cyrilramaphosa,ipyg,victim,toronto,structur,"
earc2018",moe,gop,nra,violenc,sound,gun,logic
41,weinsteinlaw,reduc,council,approv,44million,“we,citi,"

gun",terror,step,hogan,ralli,cnn,solv,rid,ravena68,amend,ca,children,suffer,nugent,ted,us,tweakybamm,peacesarah3,tednug,dbongino,law,ban,lock,drmgilligan,catolett,catoinstitut,solidar,epidem,mani,chicago,gun,👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽🖥️📱📧✍🏽📞resist,lolz,himym,bluewave2018,nra,control,dloesch,dope,kansa,honor,votethemout2018,stop
42,beverlynbcla,technolog,bastard,term,notsosubtl,kareemhamdi,result,bjp4india,won’t,mf,nurahabdulhaqqq,root,unroot,infrin…,somebody’,shoot,n…,revrosemari,novascudi,told,council,accid,"police
10",law,neighborhood,aftereffect,repiev,constant,ff,nation,davidhogg111,drop,control,statist,bu…,thehil,oppress,enough,badg,dude,counti,gun,street,young,forgot,cumberland,👇🏿🙌🏿,thank,nra,😟😰
43,msnbc,wasn’t,congress,father,number,issu,vi…,knive,weve,thehil,momsdemand,florida,research,elect,opioidod,epidem,littl,norma…,serious,sicko,nickkristof,primari,yet,honor,governor,a…,colorado,suicid,reason,shoot,nigga,violenc,they’r,white,dloesch,certifi,psycho,cnn,,die,❤️❤️❤️✝️🙏🇺🇸🙏✝️✝️✝️❤️,votebluenomatterwho,voteblue2018,america,gun,unreal,nra,michaelianblack,emma4chang,sad
44,moron,monkey,health,joke,nazi,hear,afric…,struggl,littl,comprehens,exactli,demand,pleas,money,place,relat,offend,this…,mayb,marchforourl,enoughisenough,nraisaterroristorgan,everytown,firearm,fight,reduc,crickafer00,data,foxnew,gun,momsdemand,listen,tnstepdad,fals,seem,point,employe,suicid,seattl,celebtalentintl,rate,impact,,youa,nra,law,vote,trudeaumustgo,repjeffduncan,cours
45,larg,blame,child,somebodi,sens,emot,research,igetblocked123,againt,signing…,governor,piss,ca48,gouda,harley,finger,photoba,kid,heartbreak,v…,support,mn,sung,12year,south,say🖕🖕🖕🖕🖕you,discuss,nra,s…,michaelianblack,sink,thisiszerohour,champion,ope,danarohrabach,safe,👌🏼,“american”,gun,nygovcuomo,march,horribl,school,puussssyyyyyyi,idea,toronto,millimet,seattl,vote2018,mikeljollett
46,the…,son,,less,ahhh,domest,immor,castrat,mn,suicid,voic,seem,address,edna,labe,molon,clearli,promot,claytravi,violenc,kaitmarieox,“nra,nightmare”,vfariasveronica,ban,pleas,congress,nra,white,americaisasickcountri,wth,votethemout,nrabloodmoney,usaissick,hideou,american,issu,stop,presidentsnid,thesmelloftea,davidhogg111,smart,gun,said,mikey🔥🔥🔥🔥😂😂😂😂😂,terrifi,ca48,dojustic,thread,disgust
47,harley,"can
putin",mass,ira,terror,victim,come,erad,toronto,safer,,danger,carri,sweep,unveil,chamber,ga,deray,blmbaltimor,bmorebloc,anoth,today,volunt,condon,spine,school,th…,jaykelly26,adriennekvello,nicoleclowneyar,children,nra,kill,horrifyingli,law,sad,dana,‼️😪,jebbush,take,nigga,gave,🗣️‼️,‼️‼️‼️‼️,wtf,gun,daddi,cnn,momsdemand,exactli
48,protest,florida,respond,urbanview,shawnca123,sarahpalinusa,period,michaelianblack,break,mn,campaign,excel,tragic,seem,resort,murder…,kill,answer,advoc,ralli,harleyrouda,murder,12year,emot,sung,58000,2016,incid,davidhogg111,america,narc,officialkingkip,death,stand,discuss,law,chicago,ban,sens,foxbusi,ivankatrump,expectu,nra,gun,promot,insan,exactli,secnielsen,cadudefrank,scari
49,approvesupport,"
speakerryan",robberi,shannonrwatt,roarquett,answer,hero,igetblocked123,famili,protest,child,deandra…,fellow,tough,nbcnew,abc,condon,johnnyutah27,klaasm67,kfisuperfan,weapon,member,karma,legitim,youv,vote2018,attent,violenc,honor,humbl,cnn,kinzatn33,threaten,parkland,nra,sassbal,survivor,endors,😂😂😂😂😂😂,gun,pass,law,markwarn,bobsmuel,black,children,joke,pictur,davidhogg111,wtf
50,high,defaziol,parti,momsdemand,school,putin,libertarian,goo…,markyoungtruth,fake,philadelphia,protest,radomysiski,depart,there’,ralli,wil…,o…,cdc,g…,effect,law,the…,gun,due,blame,dumb,annapoli,supitsshekinah,gather,safermd,bc,rain,davi,st…,crisi,shoot,american,resist,human,kbolan,america,wterrenc,famili,student,davidhogg111,nra,,edna,inthethickshow
51,strong,cbctoronto,cbcnew,famili,sassycrass,treason,young,cage,mn,12year,sung,supitsshekinah,dick,campaign,govlarryhogan,hogan,year,fing,he,ralli,end,legisl,school,cdc,rodriquezkhaliq,control,guy,law,student,racism,violenc,countri,gun,nra,children,onvot,limp,realdonaldtrump,wterrenc,hitler,rape,done,problem,pass,beauti,ok,refusetoforget,braveamericanpatriot,ca48,bluewave2018
52,joe’,issu,student,offic,honor,defens,liber,rememb,listen,ralli,alread…,joannmxox,“law”,black,law,violenc,yay,almost,harley,control,assault,then…,blind,scratcher,butt,confisc,facto,votethemout,suethenra,de,nrabloodmoney,"
flipitblu",tw,"tw

uhhhhh",action,acknowledg,domest,shoot,also,ye,thank,nra,dbongino,dloesch,ca48,articl,great,gun,commonsensegunlaw,crazi
53,mental,prisonplanet,gofasterxlr8,"
wethepeopl","maga
thank",susankitchen,shoot,realdonaldtrump,commun,run,beccapez,everi,yea,correct,federal…,trader,student,peopl,crimin,sad,stop,complicit,teamputnam,groceri,ralli,young,endless,grief,fuck,hostag,solut,nra,learn,malerag,oh,gun,truth,legal,cours,leavecrosscheck,kevinmcgil,this👇🏽,maddow,comput,gunsensecandid,"voteblue
commonsensegunlegisl",danarohrabach,law,jaxonomara,domest
54,guess,russia,isnt,it…,per,capita,calendar,ca48,suicid,disagre,lost,load,exactli,safe,ok,chang,silverlak,still,sciencenotsil,owl,"tiiiimmmmmmmmmeeee

hostageb",marchforsci,coverag,regul,fact,ridicul,militia,back,control,davidhogg111,therealjoebuf,kathycronin007,shoot,crap,lie,jaclyncorin,situat,law,70,true,domest,american,truth,afreakinmen,vote2018,bernie2016tv,endgunviol,realdonaldtrump,violenc,nra
55,fact,rowlandjordyn,disproportion,okay,press,polic,block,chicago,overlook,traderjo,law,violenc,squar,2a,foxnew,also,genius,health,gun,truth,situat,wvmorgantown,frankconniff,maggi,wors,marshallsuck,reduc,foxampfriend,mental,old,control,hot,stop,palm,glad,america,realdonaldtrump,lead,racist,"t
thread",louder,"vote4harley
voteforharley
rouda2018
kickoutrussianrarohrbach",voteblu,hahay,dummi,colbyklau,end,ban,nra,domest
56,peopl,amoneyresist,aslavitt,law,slimebal,affect,change…,rate,campaign,motorcyc…,weari,american,vote,prevent,repadamschiff,control,danarohrabach,ban,sick,prick,grandmoth,joe’,alexking737,fuckthenra,controlnow,🌊🦊👍,ca48,,young,children,davidhogg111,👇🏼,trader,victim,b9lyequivoc,forc,stori,ownership,enough,fail,politicalemilia,wall,shoot,chang,❤️,sensiblegunlaw,dbongino,wow,nra,domest
57,heartbroken,alexking737,kind,donat,stacey,abram,ba…,trump,scari,close,dr,victim,wasn’t,signrealliber,needless,fox59,idiot,control,thatdevinfield,virtual,countri,fr,percentag,terribl,differ,ca48,silverlak,treasonoustrump,"
lyingtrump",uninform,imagin,everyday💙💙💙💙💙,davidhogg111,law,harleyrouda,congress,grandma,point,lost,promis,gun,domest,nra,votethemout,lie,truth,realdonaldtrump,lysistrata,awe,sad
58,terrible❗️,everyon,yo…,weinsteinlaw,inspir,guncontrolnow,blacklivesmatt,gang,georgia,countri,lot,america,staceyabram,teenag,local,sammyami,context,tho,rest,victim,a…,concern,weapon,trader,silverlak,exactli,brain,domest,enoughisenough,"
stonemandouglas
parklandschoolshoot",guncontrol,gunreformnow,access,paradis,law,trump,traitor,cc,nra,disgust,bad,wrong,nraisaterroristorgan,"sad

impeachtrump",orangewaveinnovemb,fuckthenra,australia,vote,,davidhogg111
59,print,commit,traumat,dougla,stoneman,countri,law,besid,enough,america,rest,other,sbsnew,newsbreak123,rememb,also,lie,control,didn’t,talk,dimwit,kaivanshroff,dloesch,potenti,yep,liar,stop,simpl,rat,plain,wh,staff,trump’,3d,disast,kill,idiot,"chief

metoo",peac,realdonaldtrump,violenc,popcorn,safe,eat,nra,despic,gun,communist,enoughisenough,guncontrolnow
60,minut,acid,biazingxmexican,stab,rhetor,lindyleeland,situat,bs,care…,id,around,grandmoth,toomani,word,n…,agre,america,state,nra,ever,voter,caseycagl,tuesday,ga,senseless,wake,amp,old,happen,weapon,murder,cnn,alwaysbcarryin,😂😭😂😂😂,condon,anyon,endors,cameronkaski,fredguttenberg,gun,tale,domest,dwl815,kzn,foxnew,silverlak,control,davidhogg111,👏👏👏👏👏👏👏,bluewav
61,10000,law,deathcrim,debat,harvard,scientif,stu…,lose,fear,trader,blaircasey86,kzn,dasenthathiah,lchfrsa,link,rife,kznpeopl,ruine…,gun,supposedli,34,problem,yesopinion,futtarufureytha,school,abus,saturday,homicid,carri,the…,california,ourrevolut,onwardtogeth,indivisbl,theresist,strict,maddow,domest,half,kill,citi,rockthevot,emma4chang,davidhogg111,nra,21,proud,hometown,kunzima,
