,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,poverti,frequenc,health,commun,janefinch,torontogta,inund,student,hell,nightmar,legisl,rephras,anti,gotta,member,ted,momsdemand…,andreahorwath,either,dumb,discuss,t…,common,along,shoot,sens,😂😂😂😂,cite,yike,stop,address,milwauke,youth,tough,frank,davenport,simplypaig,nugent,polic,die,davidhogg111,naw,shit,blacklivesmatt,🎯🎯🎯💯💯💯,gun,kid,,agre,ouch
1,march,michaeltibollo,idiot,rap,gta,murder…,dumbest,written,caus,text…,pant,crisi,nra,brutal,toronto,dumb,shoot,sad,homi,serv,tednug,technolog,chicago,b…,avoid,health,westworld,orwellian,shotspott,citi,neveragain,soldier,davidhogg111,faith,control,awesom,hahaha,theonion,tory）在7月18日记者会宣布，针对多伦多的帮派和枪支暴力问题，将投入至少1200万资金，并采取旨在解决暴力根源的16项新举措，包括少年危机恢复小组和扩…,多伦多市长庄德利（john,congratul,reduc,polic,freakin,peep,circl,,😂😂😂😂😂😂😂😂😂😂😂😂😂,hahanic,gun
2,never,someon,avoid,chicagosmayor,rahmemanuel,people…,editori,robrein,remind,friendli,millionhoodi,american,rage,conserv,polic,anyon,solut,dollar,"anyone

didnt",rifl,b…,beyond,senduckworth,wast,cdcgov,nra,crazi,arm,lose,list,health,tribexx,,taxpay,shall,research,guncontrolnow,"stopgunviolence
confrontcorrupt",traitor,momsdemand,eye,brainwash,yayyyyy,protest,davidhogg111,gop,fking,true,glorifi,gun
3,lvspark,youv,they…,saysometh,print,killer,j3mike,crime”,“but,th…,at…,senduckworth,prob…,advoc,mere,save,l…,onion,whore,peter,human,nra,hudsonvalleyst1,commun,measur,without…,anybodi,wunna,venezuela,violenc,control,black,cdcgov,duckworth,susanwbrook,iamamazingluca,chicago,money,caus,jemelehil,blame,davidhogg111,weaintfriends8,elimin,edshoemakerfl,,gun,imbecil,☠️☠️☠️☠️☠️,end
4,add,narrat,truli,innoc,worth,it’,victim,curb,feed,hogg,edif,ftom,satir,😱🤔,havewi…,shake,ye,let’,😂😂😂😂,resist,bluewave2018,crowd,“dangerous”,theft,nab,yeah,gun,btw,statement,🙌🏾,yet,alyssa,boot,nightmar,close,,risingasch,✊🏾,nra,thehil,plagu,awesom,stoog,🤗♥️🤗,loser,fatsham,❤👏❤👏❤👏❤,hilari,activ,pictur
5,janzforcongress,devinnun,mayor,epidem,disgust,camera,kill,wbobalink,vi…,littl,protect,williamleg,crimin,student,bob,brehl,jaclyncorin,catherin,linda,christyclarknc,pictur,blair,combat,curb,technolog,excel,sorri,shoot,,gun,lead,kind,love,children,citi,hard,davidhogg111,futur,225,prevent,correct,bright,child,point,fear,work,🤩😍🤩😍🤩😍🤩😍🤩😍🤩😍🤩😍🤩🤩😍🤩😍🤩😍🤩😍🤩😍🤩😍🤩😘😘😘😘😘😘😘😘😘😘😘😘😘💕💖💙💚💛🧡💕💖💙💚💛🧡💕💖💙💚💛🧡💗💗💗💗💗❣,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,depress,❤️❤️❤️❤️❤️
6,armastrangelo,markfromalbani,bigvilerat,dsa,meal,freshest,roadtochang,explain,ope,vic,mensa,affect,street,lose,disgust,dloesch,fault,hero,suppos,nora,nra,walkaway,isn’t,polic,🇺🇸🌊,ca45,give,issu,suspect,canada,davidhogg111,"
resist",tre45on,protest,moron,also,paintbal,triggeraconservativeintwoword,pic👇💜👇💜,,🇨🇦,acknowledg,pic,2a,lol,death2thenra,powertothepeopl,pictur,awesom,kid
7,nominee”,lobbyist,johngaramendi,4050,outlier,signatori,potu,polici,control,nightmar,wacko,concentr,hypocrit,exactli,distract,domest,issu,"
marchforourl","
neveragain",stinchfield1776,nratv,treecarverbil,pritzker,nra,children,everyone’,speak,rock,bout,cnnbrk,lunch,momsdemand,countri,futur,irregular,migrat,hollywood,vp,compar,handi,twitchyteam,beauti,imagin,nahhhhhh,cool,theyoungpeoplewillwin,vote,nora,davidhogg111,
8,something…,affect,🙄when,strang,spell,“greatest,gift”,protest,onikasedg,davidhogg111,massacr,family…,prevent,teacher,list,satir,onion,lo,war,51000,type,right,follow,oh,marchonnra,sullivanforco,ff,platform,kid,gunreformnow,nora,youd,🇺🇸🇺🇸,anoth,thing,end,noooooo,lost,shannonrwatt,"

trumppenceforprison2020",paintbal,drug,worth,superstar,🤣👏,powertothepeopl,👍😎,peopl,whoopigoldberg,stop
9,"
cndpoli",toronto…,blair,combat,"
the",bout,home,troubl,seiz,fu…,generat…,resolut,retribut,safe,anybodi,who,ar…,legisl,young,bettemidl,looki…,provid,reduc,murder,lose,shoot,root,saddest,due,that,shannonrwatt,stop,getup,protect,,senseless,read,father,annacray,stupid,davidhogg111,keep,coverag,famili,spell,liber,projectmack,gun,proud,onion
10,countri,aggrav,whoopigoldberg,thehelloutofpeopl,beat,peopl,anti,shooter,🤔🤔🤔,ralli,protest,attend,assur,assured…,politician,corpor,shoot,news,rise,discuss,activist,monopoli,lost,nation,alreadi,garcetti,lo,angel,crime,march,stop,incred,heartbreak,ye…,smh,violenc,heart,a…,nra,world,thisisamerica,awash,funni,let’,gun,davidhogg111,whole,teen,daammnn,kid
11,counsel,laaspamela,chicago,shot,pleas,stand,indianapoli,wellknown,doyourjob,bow,school,govern,bigger,ciggarett,street,urban,whitetrash,father,tha…,roundup,th…,congrat,marti,lemert,indiana’,victim,violenc…,switzerland,end,vast,major,🤷🏾‍♂️,guy,gentrif,kill,gun,stop,,shannonrwatt,uglydol,sdcc18,countri,ope,thatsmh,sad,❤️💕😘,book,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,italianpolit,kid
12,woman,kill,other,particip,housegop,"life
deanhel",senategop,c…,taken,straightup,necessari,finish,usual,much,toy,els,"wonderful
wish",ask,might,famili,platform,ad…,humankind,athlet,transform,traumat…,circumstanceshould,liter,people’,replace…,ayyy,gooooood,grandmoth,everytown,newtownact,hrw,citi,shot,crime,nra,thursday,cop,joke,mani,violenc,gun,troll,irrationa…,bridg,
13,blue,workplac,etiennedodg,johniadarola,peac,workplaces…,support,join,famili,polit,polic,friend,wear,spoiler,perpetr,content,viole…,"girls

gener",modern,roblox,respect,2a,involv,organ,✊🏾,devast,cycl,cruel,evid,creat,change…,33000,other,shot,thursday,davidhogg111,ted,fear,gun,mine,suffer,hasnt,curb,rucku,huge,theft,nab,ballot,gunsensecandid,today
14,politician,lawabidingcitizen,promot,anyth,ugli,especi,art,margin,"readretweet

lp",violenc…,kashjackson2018,candid,chicago,gov,ha…,xwearelegion,calhmcr,bbcworld,"
thi",ill,acknowledg,sadder,guys…,wake,south,wpxi,truth,half,common,say…,ali,and…,law,toronto,hogg,"tool

thank","

david",young,suspend,disarm,nitwitl,cannot,plan,catolett,catoinstitut,drmgilligan,davidhogg111,,⤵️⤵️⤵️putin,mangia
15,oliv,skewer,blame,kevinmkrus,explain,fals,favourit,re…,news,control,bill,blair,nora,robert,novel,shelter,pee,perman,peep,trinityresist,gretaresist,surviv,father,gop,mine,arrest,real,law,gun,enough,⤵️♥️,scotu,plan,shannonrwatt,conserv,tragic,john,nab,save,torontostar,polic,bravo,american,where,nugent,despic,emma,alyssa,onion,theft
16,raiva,bhemba,apa,viol…,firearm,epidem,dev…,zero,innoc,‼️‼️,johntori,mayor,hightech,tool,curb,defend,cousin,fro…,toy,sad,ownership,guardian,issu,constant,uk,soon,cowardli,along,senrobportman,solut,live,weapon,effect,honor,youthovergun,social,citi,goin,forget,impeach,potu,children,count,countri,normal,in👍👍👍👍,paperballostnow,tracey😅😅💝💝😘😔,everytown,dloesch
