,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
335,scrawford007,teen,brazil,m…,trumper,krassenstein,hear,timetotalk,nationwid…,mental,wwltv,shut,care,along,situat,truefactsst,victm,violenc,unbnew,thursday,wound,lollapalooza,prayer,shoot,,innoc,happier,heartbeat,wepon,nrlc,3d,nra,selv,toronto,protest,anti,stop,possibl,victim,polic,gun,brother,lost,kc,march,chicago,trump,walkaway,yeaaaaaaaa🌋💯✊🏽✊🏽♨️♨️,sigh
336,fredguttenberg,🇺🇸,ajstream…,prevent,encourag,forward,street,health,peopl,folksand,devolv,discuss,reduc,polic,lmaoo,dr…,awar,connect,wick,anniversari,violenc,newyorkstateag,bdoma,brianteuton,answer,america,spread,indacloudss,kid,realiz,90,nra,ctvwinnipeg,shoot,guncontrolnow,gunsens,grasp,crimin,handi,guid,anti,womenwholead,sheshouldrun,chicago,impact,gun,rollin,mexico,👇👇👇👇,wow
337,justic,tonyarch,spread,treat,agre,problem,2a,law,civilian,lifetim,hollywood,rollingston,weapon,claim,stupid,activ,wish,tackl,everyday,reduc,happen,ugh,laskerrichard,jaketapp,jake,huge,citi,ridicul,"snoop
polic",harithaugustu,threaten,davidhogg111,pl,nra,prominen…,support,meet,violenc,wouldnt,marchforourl,endgunviol,gun,control,protest,xoxoyani85,,fulli,goldrush2018,qanon,chicago
338,lous,fvck,sound,g…,blame,hell,must,bad,change…,restrict,bitch,engag,mayb,shut,seem,support,youv,violenc,public,incred,mad,survivor,live,dana,rant,,issu,disturb,dawg,talk,prevent,victim,womp,sad,mean,twatwaffl,well,gun,grief,dloesch,idiot🤡🤡🤡,🎻🎻🎻🎻🎻🎻🎻🎻🎻🎻🎻🎻,badterd,disgust,horribl,seemswel,that’,threat,poor,nra
339,felt,unhelp,silli,momsdemand,rightli,grasp,arcamax,legal,lynch,legisl,odor,tinfoil,“woman”,stop,shoot,prevent,crimin,fan,gun,dumb,deserv,firearm,trashboxnramascot,bye,robbystarbuck,chicago,well,assault,ban,nevertrump,victim,care,piec,stab,detroit,survivor,tri,dloesch,don’t,criminal⁉️,ummmmm,💔💔💔,wompwomp,,7im,king4kids🧡primariesmatter🧡chriskingfl🧡voteorange🧡,atlantamarch,prison,docs4gunsens,nra
340,mnjeffjohnson,harder,shoot,mayor,opportun,student,solut,m…,snowflak,america,import,protest,lynch,she,lead,of…,mass,law,threaten,anti,vote,nastiest,country…,richmondpolic,rva,long,convers,young,ny,group,dana,oh,congress,care,"
catrionalaing1",pvandammeeu,fist,chicago,davidhogg111,terrorist,didnt,dloesch,court,ohi,insur,nra,lol,omg,howl,
341,lie,berni,reduc,shoe,lisa,arrest,send,continu,countri,🔸capitalflight,"emigration
🔸braindrain","🔸brazil
🔸failingstate
🔸
🔸migr",due,she’,crimin,survivor,public,polit,rubl,teamtrac,omg,speak,mayb,,pollut,sick,legisl,wound,bloodi,davidfrum,seriou,frick,nra,dana,womp,chicago,lynch,preetbharara,charliekirk11,reggiejackson78,prayer,organ,care,dloesch,fredocon,ohio,126,luck,😡😡😡😡😡,snowflak
342,robotnik,dana,58000,instig,slap,blame,bed,cnn,hollywood,charliekirk11,mustanggtfran,delic,opinion,nice,heard,understood,borgia,lucrezia,msnbc,late,ummm,pcp,divers,"

worthi","attentionaction

bethechang",mayb,everyon,promis,boo,mike,jfc,terrifi,dement,3d,print,incid,safe,hoo,victim,gta,marchforourl,nut,chicago,dloesch,👇🏽👇🏽👇🏽,lynch,terribl,tw,nra,threat
343,calliethulhu,assum…,dana,end,owner,a…,shoot,tackl,lack,project,everytown,dont,poetic,ned,justic,don’t,icon,law,anti,liber,237onlin,team2020trump,butbutthey,stop,cp24,protest,womp,i…,ball,outdeb,po,resign,mater,alma,slime,own,gun,kylekashuv,care,chicago,dloesch,victim,prayer,❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️💔💔💔💔,huh,teenytinyflam,"teamerin

politicsofjoy",fbi,wompwomp,nra
344,rkidsrworthit,definit,nratv,democrat,boy,sa…,anoth,charliekirk11,1287373838288,anti,toronto,david,sticker,harri,“end,sens,isn’t,all…,davey,crap,illeg,emma4chang,violenc,danaloesch,inform,,woke,crime,kylekashuv,prayer,davidhogg111,protest,chicago,long,threaten,march,dloesch,attend,reform,lynching❄,discuss,lynch,didnt,nra,past,yeah,ha,demvoic,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"amen

maga"
345,days…,retali,cuz,lost,aliv,7im,dana,nut,candid,prayer,pew,hightechlynch,countless,violenc,protestor,prevent,famili,stop,democrat,lynch,she,victim,dumb,mmfa,stori,yesterday,truli,thursday,wound,ignor,excel,smfehir,,care,true,inform,theresist,whiney,gun,chicago,dloesch,"dana
not
dloesch",nra,horribl,fact,charlottesvil,"dealer
regulations

law
center
to
prevent
gun
viol",😂😂😂,lol,gunsensenow
346,smarter,⁦⁩i,threaten,rape,kidnap,western,address,expect,incid,“consequences”,action,tatter,sue,pant,less,survivor,children,dana,anyth,loesch,andykimnj,nj03,gunsensecandid,cnn,going🚁nap,murder,violenc,boo,support,adult,prayer,whine,brutal,assault,treat,chees,,gun,chicago,hoo,jodi,nra,wish,inde,lynch,hello,btch,insan,acosta,dloesch
347,teenag,sign,shoot,strategi,insan,would,public,control,danaloesch,issu,sagehillfarm,apathi,ron,perlman,glorifi,turnoff,perlmut,potenti,stfu,po,condescend,societi,sound,law,due,hurt,nathanhrubin,actual,"

wompwomp",whaaaaaaaaaa😰,saddest,lynch,research,nra,nrarussia,fridaynight,voic,young,die,narrat,chicago,,thought,prayer,dloesch,thoughtsandpray,unbeliev,ahahahahahahhaha,still,stop
348,candid,clean,water,at…,no…,anti,sens,sober,dolphinondolphin,bravo,thedweck,nyt,crisi,reason,threaten,demonstration…,protestor,street,nation,legaci,trumplegaci,extrem,dloesch,wouldnt,novemb,vacat,conserv,trump,public,destroy,design,nra,whiner,violenc,burn,golf,dt,gun,guard,send,victim,roysexton,yahoo,chicago,lynch,crustyone2,exampl,,voteblueforamerica,moron
349,fraud,wasn’t,"
don’t",campus’,left,man’,brush,hello,eopcr,shouldn’t,area,gsc,pounc,nyt,frighten,anti,davidhogg111,doi…,right,kill,truli,manipul,propaganda,speechspew,control,beauti,illinoi,crap,divers,kneel,mental,memori,alon,claim,chicago,sens,threaten,,gun,ad16,rbk,lost,threat,lynch,violenc,victim,resist,pictur,nra,prayer
