,0,1,2,3,4
0,2018-07-20T14:37:53,543.0,1086.0,0.37499999999999994,0.9096385542168675
1,2018-07-20T15:37:53,637.0,1274.0,0.4390243902439024,0.9321533923303835
2,2018-07-20T16:37:53,801.0,1602.0,0.25,0.9302325581395349
3,2018-07-20T17:37:53,855.0,1710.0,0.4210526315789473,0.9367816091954023
4,2018-07-20T18:37:53,896.0,1792.0,0.375,0.9147727272727273
5,2018-07-20T19:37:53,857.0,1714.0,0.3111111111111111,0.9028213166144201
6,2018-07-20T20:37:53,795.0,1590.0,0.34782608695652173,0.9537037037037037
7,2018-07-20T21:37:53,704.0,1408.0,0.41379310344827586,0.946031746031746
8,2018-07-20T22:37:53,1154.0,2308.0,0.3414634146341463,0.9090909090909091
9,2018-07-20T23:37:53,1723.0,3446.0,0.2352941176470588,0.9103448275862069
10,2018-07-21T00:37:53,1510.0,3020.0,0.4285714285714285,0.9402985074626866
11,2018-07-21T01:37:53,1371.0,2742.0,0.0,0.9294605809128631
12,2018-07-21T02:37:53,1259.0,2518.0,0.5217391304347825,0.9561752988047809
13,2018-07-21T03:37:53,1216.0,2432.0,0.2666666666666667,0.9561752988047809
14,2018-07-21T04:37:53,1116.0,2232.0,0.1111111111111111,0.9313304721030042
15,2018-07-21T05:37:53,949.0,1898.0,0.0,0.9519230769230769
16,2018-07-21T06:37:53,645.0,1290.0,0.0,0.9613259668508287
17,2018-07-21T07:37:53,445.0,890.0,0.33333333333333337,0.9782608695652174
18,2018-07-21T08:37:53,319.0,638.0,0.0,0.9759036144578314
19,2018-07-21T09:37:53,285.0,570.0,0.0,0.9870967741935484
20,2018-07-21T10:37:53,288.0,576.0,0.13333333333333333,0.9202453987730062
21,2018-07-21T11:37:53,375.0,750.0,0.25,0.9662921348314607
22,2018-07-21T12:37:53,587.0,1174.0,0.18181818181818182,0.9585253456221198
23,2018-07-21T13:37:53,861.0,1722.0,0.5925925925925927,0.9558232931726908
24,2018-07-21T14:37:53,1078.0,2156.0,0.1904761904761905,0.9409722222222222
25,2018-07-21T15:37:53,1158.0,2316.0,0.2857142857142857,0.9486301369863014
26,2018-07-21T16:37:53,1114.0,2228.0,0.25,0.9391891891891891
27,2018-07-21T17:37:53,1155.0,2310.0,0.5128205128205128,0.9364548494983278
28,2018-07-21T18:37:53,1320.0,2640.0,0.09090909090909091,0.9319727891156463
