,datetime,gv_size,non_gv_size,tf_idf_size,f1_score,accuracy,precision,recall,train_size,test_size,TP,FP,TN,FN
0,2018-10-04 09:00:00,79.0,158.0,2458.0,0.0,0.9594594594594594,0.0,0.0,516.0,222.0,213.0,0.0,9.0,0.0
1,2018-10-04 10:00:00,168.0,336.0,2872.0,0.375,0.9637681159420289,1.0,0.23076923076923078,641.0,276.0,263.0,0.0,10.0,3.0
2,2018-10-04 11:00:00,194.0,388.0,3368.0,0.2222222222222222,0.9569230769230769,1.0,0.125,757.0,325.0,309.0,0.0,14.0,2.0
3,2018-10-04 12:00:00,202.0,404.0,3830.0,0.35714285714285715,0.9541984732824428,0.8333333333333334,0.22727272727272727,915.0,393.0,370.0,1.0,17.0,5.0
4,2018-10-04 13:00:00,314.0,628.0,4134.0,0.39999999999999997,0.9521640091116174,0.875,0.25925925925925924,1023.0,439.0,411.0,1.0,20.0,7.0
5,2018-10-04 14:00:00,365.0,730.0,4527.0,0.35,0.9477911646586346,0.875,0.21875,1161.0,498.0,465.0,1.0,25.0,7.0
6,2018-10-04 15:00:00,440.0,880.0,4743.0,0.2641509433962264,0.9271028037383178,1.0,0.15217391304347827,1246.0,535.0,489.0,0.0,39.0,7.0
7,2018-10-04 16:00:00,316.0,632.0,3526.0,0.34285714285714286,0.9339080459770115,0.8571428571428571,0.21428571428571427,812.0,348.0,319.0,1.0,22.0,6.0
