,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,cut,depart,terranc,polic,offic,florenc,veteran,carraway,mrcolionnoir,jayinsle,mayorjenni,micheleredding2,drug,nratv,irk,lib…,trade,carolina,columbia,murder,south,tyreen,mcdowel,careygli,willowcat2011,davidhogg111,18ish,principl,it…,stop,first,lindsey,gr…,piou,prayer,repmarkmeadow,carri,shoot,troll,flag,hezbollah,polit,isn’t,policeman,becom,seriou,chasm,rumin,lebanon,votebluetosaveamerica
1,oliv,skewer,action,incit,inequ…,racism,injustic,"

thi","

good",👍🏻,newtownact,nelbamg,petermasiako,hshermd,johnrosenth,right,student,shot,otherwis,been…,abus,threaten,whove,took,attent,write,daili,gop,choos,offic,physic,expos,folk,hoe,chasin,amongst,surviv,simpli,debacl,safe,distance…,elect,callin,✊🏾,henrymcmast,thegish,percent,w…,mental,
2,danabalt,congress,thecitizen,nyagv1,ny24,pra…,huh,control,thoughtfulsqua,xm00nsh1nex,group,issu,a…,militari,deregul,preacher,realiz,elmer,tough,franklingraham,aroun…,gantri,record,jesu,access,approv,lindseygrahamsc,answer,senat,polic,prageru,paul,anyone☺,safe,american,shoot,cn,brutal,murder,arm,day…,thing,johntori,"
here",teacher,,violenc,gun,davidhogg111,thursdaythought
3,law,advertis,971thedriv,leader,effort,mention,bed,dem,disingenu,neighbor,say…,pa,regard,sycoph,thought,victim,protect,pass,gop,g…,caus,number,said,curb,root,fear,carri,also,problem,"
neveragain",yeah,speak,co…,lindseygrahamsc,violenc,senatortimscott,nra,rebecca345w,deal,chicago,domest,king,33,faithgoldi,johntori,,gun,stan,prayer,commonsensesafeti
4,young…,neighborhood,tw,sinc,heart,domest,shot,lack,unfortun,"
kavanop",effect,equal,interest,"

",pass,victim,t…,black,yall,solut,oc,resteasyamon💔,ain’t,deserv,kill,tough,etc,toronto,keep,statement,seem,lost,unnecessari,pennsyltucki,cultur,control,pennsylvania,prayer,problem,ope,children,issu,gun,lnp,law,yay,,idea,betoforsen,annaspoerr
5,kaitmarieox,blueghostinki,“root,cause”,ward,pa,jo,t…,realdonaldtrump,⁦shannonrwatts⁩,"7
⁦momsdemand⁩",⁦danvillecanews⁩,isn’t,remov,douglas23710413,wolf33145,shoot,jemelehil,administr,omarosa…,senwarren,“alleged”,safe,discuss,wife,invent,violenc,messag,lobbi,increasingli,senatortimscott,america,chicago,praying”,“think,sunday,gotta,theeconomist,map,henrymcmast,mass,global,domest,gun,doncheadl,stop,law,nra,volum,speak
6,duffer,crimin,support,caus,kourtneykardash,pertain,health,mental,yo…,kill,🗣here,1800’,butch,cassidi,sundanc,kid🤨,idea,believ,victim,polic…,polici,sean,votecarrigan,titl,paint,acryl,ralli,explor,urbaninstitut,perspect,chicago,way…,ppact,basic,threaten,state,kneel,attent,lawmak,republican,cjorg1,boisepd,liber,realfarmacist,gun,stop,prayer,trumpstud,hook,sandi
