,datetime,gv_size,non_gv_size,tf_idf_size,f1_score,accuracy,precision,recall,TP,FP,TN,FN
0,2018-10-04 09:00:00,79.0,158.0,2397.0,0.0,0.972972972972973,0.0,0.0,495.0,0.0,0.0,21.0
1,2018-10-04 10:00:00,168.0,336.0,2909.0,0.18181818181818182,0.967391304347826,0.3333333333333333,0.125,607.0,0.0,0.0,34.0
