,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,acoust,weapon,expo,jasper,mark,human,tannahilltp,one…,race,traitor,put,gr…,lindsey,stop,piou,prayer,repmarkmeadow,18ish,davidhogg111,willowcat2011,careygli,principl,member,soul,giffordscourag,protect,merci,lindseygrahamsc,shoot,giovannaliviana,kirk,troop,gop,legisl,actual,heartbroken,polit,isn’t,youth,drakethomas22,nra,carri,troll,hezbollah,flag,policeman,becom,seriou,lebanon,votebluetosaveamerica
1,actual,law,inequ…,daili,"

thi",racism,"

good",wonder,th…,otherwis,abus,been…,whove,mentor,hampton,road,tryna,aro…,rampant…,oppos,hardbal,nccneon,write,took,ridicul,repadamschiff,shame,physic,state,simpli,distance…,safe,debacl,surviv,offic,hoe,folk,amongst,chasin,agre,student,mental,henrymcmast,thegish,w…,percent,gop,communitypol,communityengag,
