,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,florenc,terranc,offic,carraway,night,point,foreign,mout…,tri,hopebr,stacieallison,jsmnrli,tyronejackson68,officialseasalt,the…,law,drakethomas22,nra,expertis,put,careygli,principl,davidhogg111,willowcat2011,18ish,confer,fort,wayn,actual,tk,som,jasper,acoust,would,giovannaliviana,troop,kirk,youth,legisl,heartbroken,answer,flag,hezbollah,troll,gasp,isnt,rumin,chasm,lebanon,votebluetosaveamerica
1,"

thi",inequ…,student,john,politician,skewer,oliv,build,resi…,neverthelesspod,campaign,attent,expos,whove,abus,otherwis,been…,tryna,road,aro…,hampton,mentor,repadamschiff,shame,ridicul,victim,oppos,hardbal,rampant…,nccneon,wonder,daili,write,hoe,amongst,chasin,folk,law,elect,mental,✊🏾,callin,gop,henrymcmast,thegish,w…,percent,communityengag,communitypol,
2,examin,panelist,m…,panel,truli,crimlawuk,rehabilit,joycefdn,shed,urbaninstitut,reason,realiz,preacher,gantri,elmer,wave,tough,aroun…,franklingraham,marcorubio,democrat,heartbroken,victim,youth,shoot,jesu,violenc,law,approv,access,prageru,health,children,young,wrong,senat,need,surpris,less,answer,teacher,a…,reduct,arm,day…,n…,extrem,thing,,davidhogg111
3,44000,508,pr…,jeaniebeanie777,michaelschweitz,bed,dem,heart,consid,human,caus,thought,bring,scale,"

good",senat,the…,sycoph,regard,lindseygrahamsc,state,dont,reduc,quot,advertis,971thedriv,neighborhood,carri,senatortimscott,step,deal,gop,"
neveragain",grew,root,curb,speak,said,yeah,chicago,pass,33,faithgoldi,stan,johntori,king,prayer,gun,,commonsensesafeti
4,young…,solut,shoot,deserv,hollowsf,fortelab,davidhogg111,domest,hotspot,mom’,victim,paul’,wife,"

",y’all,offici,problem,interest,offic…,peac,gunsensecandid,chicago,resteasyamon💔,ain’t,oc,lack,statement,tough,control,refus,young,pennsylvania,johnfugelsang,relev,prevent,kill,unnecessari,pennsyltucki,ope,law,issu,children,seem,lnp,,yay,gun,idea,betoforsen,annaspoerr
5,"
randpaul",affront,overturn,timmoses37,jo,mass,survivor,reduc,should…,violen…,sunday,activist,"7
⁦momsdemand⁩",⁦shannonrwatts⁩,⁦danvillecanews⁩,loos,phillychil,unnecessari,omarosa…,jemelehil,america,kait,kaitmarieox,blueghostinki,civilgunown,sandyhook,bu…,wife,african,sonicub,doncheadl,senwarren,invent,increasingli,lobbi,messag,law,violenc,revchuckcurri,serenejon,ascpa,theeconomist,global,volum,stop,domest,nra,speak,standyourground,horribl
6,kelleyashbypaul,fellow,momsdemand,maxin,scream,rais,incredibly…,govern,proud,in…,davidhogg111,sweat,import,prevent,seem,violenc,votecarrigan,societi,sue,keep,noth,scholar,load,chicago,s…,law,abort,tackl,woman,number,live,gop,throug…,cori,health,knee,sadden,america,❤️our,courag,cdc,young,endors,danabalt,gun,bostonglob,bed,ballot,senwarren,kanyewest
7,contagi,dawnporterm,benmank77,holymoleyol,joycecarolo,caught,hack,cultureofcorrupt,gotv,takeitback,33000,change…,in…,protect,america’,hshermd,docsdemand,researchaffirm,meganranney,citi,join,pennsylvania,nuts…,nra,take,disproportion,candid,survivor,lindseygrahamsc,mom,law,track,zaibatsunew,deimosmetu,violenc,tuckercarlson,"
when","your
saf",work,march,solut,domest,lt3,gun,rosen,polic,houston,desper,much,action
